z down
x:-7.381000 y:-12.261000 z:1071.160034 
x:-18.544001 y:-12.627000 z:1064.083984 
x:-25.802999 y:-9.089000 z:1070.977051 
x:-15.677000 y:-7.015000 z:1073.355957 
x:13.908000 y:16.409000 z:1069.390991 
x:4.514000 y:17.202000 z:1073.112061  
x:23.118999 y:15.006000 z:1052.921021 
x:17.507000 y:15.128000 z:1057.191040 
x:12.688000 y:18.483000 z:1067.744019 
x:18.299999 y:14.152000 z:1069.452026 
x:19.825001 y:13.969000 z:1064.693970 
x:15.677000 y:15.494000 z:1074.149048 
x:7.808000 y:22.326000 z:1059.630981 
x:9.516000 y:11.102000 z:1074.819946 
x:11.468000 y:10.309000 z:1067.621948 
x:20.374001 y:14.518000 z:1061.400024 
x:12.261000 y:15.738000 z:1069.696045 
x:7.808000 y:12.627000 z:1069.635010 
x:7.442000 y:15.250000 z:1067.255981 
x:14.701000 y:14.335000 z:1065.060059 
x:7.015000 y:12.444000 z:1069.635010 
x:3.599000 y:11.529000 z:1070.671997 
x:7.320000 y:14.640000 z:1064.206055 
x:7.747000 y:17.445999 z:1067.438965 
x:48.068001 y:10.187000 z:1046.088989 
x:208.802994 y:-2.318000 z:1053.896973 
x:16.896999 y:19.580999 z:1052.982056 
x:-25.497999 y:16.710000 z:1079.822021 
x:8.967000 y:8.052000 z:1071.708984 
x:16.775000 y:8.662000 z:1080.432007 
x:22.570000 y:5.368000 z:1064.693970 
x:9.943000 y:4.636000 z:1063.901001 
x:5.429000 y:2.989000 z:1063.168945 
x:4.087000 y:5.551000 z:1062.741943 
x:8.174000 y:9.516000 z:1061.644043 
x:2.623000 y:6.405000 z:1064.693970 
x:11.346000 y:3.599000 z:1077.198975 
x:4.331000 y:6.588000 z:1064.022949 

z up   
x:72.041000 y:-17.202000 z:-983.075989 
x:34.891998 y:-17.568001 z:-971.119995 
x:47.824001 y:-11.529000 z:-1003.937988 
x:20.496000 y:19.215000 z:-995.520020 
x:14.213000 y:22.570000 z:-977.098022 
x:11.041000 y:14.457000 z:-983.320007 
x:28.608999 y:13.908000 z:-985.393982 
x:21.350000 y:9.699000 z:-992.348022 
x:43.066002 y:23.363001 z:-1000.156006 
x:36.844002 y:17.629000 z:-999.484985 
x:27.511000 y:25.742001 z:-977.036987 
x:35.319000 y:23.424000 z:-992.531006 
x:55.083000 y:19.153999 z:-992.226013 
x:44.408001 y:10.248000 z:-992.835999 
x:44.713001 y:10.980000 z:-973.437988 
x:41.174999 y:-9.150000 z:-1001.010010 
x:30.743999 y:-8.479000 z:-976.122009 
x:39.466999 y:-14.396000 z:-1006.987976 
x:19.153999 y:-6.039000 z:-995.580994 
x:41.480000 y:-4.392000 z:-997.655029 
x:40.504002 y:-1.647000 z:-989.603027 
x:40.077000 y:-6.527000 z:-990.273987 
x:40.138000 y:-12.322000 z:-986.125977 
x:43.980999 y:-9.455000 z:-992.775024 
x:53.070000 y:-0.183000 z:-994.421997 
x:45.750000 y:-2.806000 z:-990.456970 
x:18.483000 y:-7.930000 z:-991.250000 
x:13.420000 y:-7.137000 z:-979.843018 
x:15.067000 y:-6.100000 z:-993.385010 
